time y_true y_pred u u_adv diff_y diff_u
209 1.5825320001448897 1.3583586 1.098359099327949 0.9983592 0.22417337854759967 -0.09999989598932602
210 1.1064485088266454 1.3584023 1.1332666404287577 1.2332666 -0.25195374337062026 0.09999995159699915
211 0.2635075336992401 1.3583772 1.1093885979134581 1.2093885 -1.09486968454722 0.09999989657811903
212 -0.3836041480592588 1.358316 1.1290581271333961 1.229058 -1.7419200927308895 0.0999999001340599
213 -0.783241582129886 1.3582242 1.0788362188059766 1.1788361 -2.1414657356485627 0.09999988844805174
214 -1.0049910253306515 1.3581195 1.1223453619477946 1.2223452 -2.363110513093103 0.09999987101576746
215 -1.1361432680548926 -1.1429079 1.1094843115834045 1.2094842 0.006764589840004831 0.09999990796768188
216 -1.2114123036554956 -1.1427066 0.7676133332577544 0.66761345 -0.06870567104135983 -0.09999988654526049
217 -1.2183639547006022 -1.1426342 0.7870566854692114 0.6870568 -0.07572980133451335 -0.09999990560776117
218 -1.2176426159032083 -1.1426132 0.7503207916143538 0.6503209 -0.0750294433720804 -0.09999990404874104
219 -1.2123484239284532 -1.1426253 0.7567299269332414 0.65673 -0.0697230920497911 -0.09999993072886515
220 -1.208579738775789 -1.1426616 0.7556952449238836 0.6556953 -0.06591816727310351 -0.09999992574816341
221 -1.2059494935902115 -1.1427159 0.8004965027427732 0.7004966 -0.06323356265149083 -0.09999988876343358
222 -1.2099472035087782 -1.1427834 0.8110315828459991 0.7110317 -0.06716380011217171 -0.09999990750725396
223 -1.215116010019029 -1.1428182 -0.2172184187846187 -0.31721836 -0.07229779750987375 -0.099999944500446
224 -0.896718667616968 -1.1428671 -0.21530341525337046 -0.115303375 0.24614842070090315 0.10000004042646235
225 -0.5177280573686363 -0.5125766 -0.1836827280940422 -0.08368271 -0.00515147732102883 0.10000001965183106
226 -0.2312480934838129 -0.51359826 -0.19942038443013282 -0.09942035 0.28235016977988947 0.10000003811045738
227 -0.0222326309772473 -0.51458466 -0.20233926091755616 -0.10233923 0.492352029552843 0.10000003043974626
228 0.12472294558150329 -0.5154158 -0.159829729759503 -0.059829734 0.6401387332783417 0.0999999954936987
229 0.2055559447447947 -0.5161023 -0.1719364801669162 -0.07193647 0.721658258740156 0.1000000069165271
230 0.26227507275506895 -0.5168439 1.1213107171761443 1.1813107 0.7791189877407256 0.05999993651037916
231 -0.2694233927570752 -0.51724577 1.1631695886088862 1.2631695 0.2478223767436572 0.09999993844494681
232 -0.7155671973598204 -0.51714146 1.1070177645908337 1.0870178 -0.19842573598744495 -0.019999990008924495
233 -0.9713819292335967 -0.5168917 1.1621486461353594 1.0821487 -0.4544902113228301 -0.07999997498515188
234 -1.1227676620546456 -0.5165602 1.1527005494765825 1.0727006 -0.6062074651781197 -0.07999992977901171
235 -1.2091542693591377 -1.2061439 1.1174223945514519 1.0774224 -0.003010413310553739 -0.040000014104064174
236 -1.2562033224569218 -1.2063262 1.1510562750421056 1.0510564 -0.04987707619532511 -0.09999989000182241
237 -1.2870485569888441 -1.2064981 1.381735710003028 1.2817358 -0.08055041093171522 -0.09999993214810865
238 -1.3228637042900664 -1.206661 1.428545516879507 1.3285456 -0.11620271834341112 -0.09999994650597177
239 -1.3489777932148141 -1.2068117 1.4222107220113476 1.3222108 -0.14216612672616669 -0.09999993328454093
240 -1.3643938789643284 -1.2069507 1.409817014464469 1.3098171 -0.15744321444406473 -0.09999993873509894
241 -1.3730715959797422 -1.2070794 1.3902257260938606 1.2902259 -0.16599218542676364 -0.09999986263713456
242 -1.3776039758240772 -1.207202 1.429565361560996 1.3295654 -0.1704020181214405 -0.09999995571535392
243 -1.3817900598016264 -1.2073166 1.3999806736065528 1.2999808 -0.17447342276244182 -0.09999991398588626
244 -1.3837218017928743 -1.2073638 -0.13127047997411145 -0.23127054 -0.17635795787502762 -0.10000005680624591
245 -1.1658813184828807 -1.1668067 -0.1692956058121846 -0.0692956 0.0009253793625783047 0.10000000575553636
246 -0.7901081838683625 -1.1676562 -0.18903871468981664 -0.089038685 0.3775479993744354 0.10000002972563665
247 -0.44022898524745824 -1.1682701 -0.10787494521491353 -0.00787496 0.7280411258365261 0.09999998513512437
248 -0.21193931529013518 -1.1688242 -0.15680545907159862 -0.056805454 0.9568848805716812 0.10000000487705288
249 -0.035769126888635545 -1.1693597 -0.15604635883533685 -0.05604636 1.133590557101843 0.09999999959432809
250 0.08937966775153826 -1.1698911 -0.1541694007760289 -0.0541694 1.259270786754834 0.09999999924957778
251 0.17423112022200904 -1.1693764 0.48853257579737996 0.38853267 1.3436074935130247 -0.09999990744525289
252 -0.16570575259539502 -1.169122 0.4889823304917143 0.38898242 1.0034162280717192 -0.09999991529243452
253 -0.46532590359738596 -1.1688759 0.5197291094880139 0.41972923 0.7035500290960954 -0.09999987669992794
254 -0.6700713881295779 -1.1687844 0.5035043251223723 0.40350443 0.49871299182952855 -0.09999989387466113
255 -0.797422648130216 -0.7892044 0.49011794589096724 0.39011803 -0.008218229471005811 -0.09999991319710433
256 -0.8749884718363099 -0.78983533 0.4835740821163166 0.3835742 -0.08515313801215219 -0.09999989436073187
257 -0.9232033687648109 -0.7904862 0.46844499327192474 0.3684451 -0.13271715221970593 -0.09999989487180877
258 -0.9510387478991943 -0.79104996 -1.0275295517526342 -1.1275295 -0.15998879062380367 -0.09999995016234386
259 -0.2868180743634726 -0.7915865 -1.0218896575376428 -0.9218898 0.5047684439241861 0.09999987558573853
260 0.39195560325436773 -0.7920826 -1.037676436453818 -0.93767655 1.184038211000492 0.09999988749599331
261 0.8440772648269089 -0.79253733 -1.0297011135787075 -0.9297012 1.6366145964080245 0.09999990451040919
262 1.1088468806811402 -0.7929536 -1.0195845079738788 -0.91958463 1.9018004911013673 0.09999987605401794
263 1.258716468890743 -0.7933347 -1.0322426749880786 -0.93224275 2.0520511914096637 0.09999992386655765
